station_code,ogd_name,osm_name,osm_id,match_method,match_confidence,match_status,lat,lon,wikidata
PLI,Pettaivaytal,Pettaivaytalai,node/6026329110,exact_code,HIGH,MATCHED,10.8988575,78.4935405,Q63369382
TDN,Tiruparankun,Tiruparankundram,node/5338756137,exact_code,HIGH,MATCHED,9.8790903,78.0651521,Q63371877
PCV,Palakkodu,Palakkodu,node/1805255694,exact_code,HIGH,MATCHED,12.2970222,78.0716779,Q18129114
RASP,Rasipuram,Rasipuram,node/1106092661,exact_code,HIGH,MATCHED,11.4537338,78.1784576,Q24950046
NMKL,Namakkal,Namakkal,node/1106092848,exact_code,HIGH,MATCHED,11.2260125,78.1790621,Q18128464
SKPT,Somanayakkan,Somanayakkanpatti,node/6063945408,exact_code,HIGH,MATCHED,12.5750296,78.5422541,Q63369906
PU,Patchur,Patchur,node/248543770,exact_code,HIGH,MATCHED,12.5865309,78.4697329,Q63369903
MAR,Mulanur,Mulanur,node/248543699,exact_code,HIGH,MATCHED,12.662548,78.4067546,Q63369902
GDP,Gudupalli,Gudupulli,node/6064300323,exact_code,HIGH,MATCHED,12.8034773,78.2747707,Q63369900
KSM,Kamasamudram,Kamasamudram,node/5186077698,exact_code,HIGH,MATCHED,12.8804954,78.2005632,Q63369898
MPLM,Murthipalaya,Murthipalayam,node/6024112209,exact_code,HIGH,MATCHED,11.0214102,78.0226297,Q63358131
MMH,Mahadanapura,Mahadanapuram,node/6025348098,exact_code,HIGH,MATCHED,10.9535779,78.2995421,Q63369412
SAT,Santroad,Anna Nagar Tower,way/1314817095,exact_code,HIGH,MATCHED,13.08514,80.2086,Q30638909
BDY,Buddireddipp,Buddireddippatti,node/5616004256,exact_code,HIGH,MATCHED,12.0463079,78.3137514,Q63355342
MONR,Mohanur,Mohanur,node/3533387280,exact_code,HIGH,MATCHED,11.0689318,78.1398608,Q24950093
MSB,Chennai Beac,Chennai Beach,way/217653510,exact_code,HIGH,MATCHED,13.0915941,80.2918317,Q3532688
MSF,Chennai Fort,Chennai Fort,way/217653511,exact_code,HIGH,MATCHED,13.0835199,80.2830139,Q15148187
MPK,Chennai Park,Chennai Park,node/2481258999,exact_code,HIGH,MATCHED,13.0807537,80.2730879,Q5091452
MSC,Chennai Chet,Chennai Chetpet,node/248467412,exact_code,HIGH,MATCHED,13.0743424,80.242421,Q5094188
NBK,Nungambakkam,Nungambakkam,node/5311775881,exact_code,HIGH,MATCHED,13.065841,80.232839,Q7069830
MKK,Kodambakkam,Kodambakkam,node/2481259002,exact_code,HIGH,MATCHED,13.0516624,80.2306892,Q6425199
SP,Saidapet,Saidapet,node/2481259029,exact_code,HIGH,MATCHED,13.0233098,80.2237191,Q7399955
GDY,Guindy,Guindy,node/3264712327,exact_code,HIGH,MATCHED,13.0086685,80.2126063,Q5616431
STM,St. Thomas M,Saint Thomas Mount,node/4221752111,exact_code,HIGH,MATCHED,12.9947654,80.1993715,Q7591984
PZA,Palavanthang,Palavanthangal,node/3187977875,exact_code,HIGH,MATCHED,12.9906385,80.1879401,Q7156987
MN,Minambakkam,Meenambakkam,node/4885094689,exact_code,HIGH,MATCHED,12.9846976,80.1750925,Q6807623
TLM,Tirusulam,Tirusulam,node/4885083053,exact_code,HIGH,MATCHED,12.9804609,80.1657933,Q7809428
PV,Pallavaram,Pallavaram,node/4435694788,exact_code,HIGH,MATCHED,12.9675742,80.1520504,Q7127768
CMP,Chromepet,Chromepet,node/5273733276,exact_code,HIGH,MATCHED,12.9521897,80.1411677,Q5113793
TBMS,Tambaram San,Tambaram Sanatorium,node/5311775880,exact_code,HIGH,MATCHED,12.9369591,80.1307034,Q7681014
SKL,Singaperumal,Singaperumal Koil,node/5311775876,exact_code,HIGH,MATCHED,12.7619226,80.0007799,Q15277868
CTM,Kattangulath,Kattangulathur,node/5273746526,exact_code,HIGH,MATCHED,12.8055581,80.0266339,Q15234477
VDR,Vandalur,Vandalur,node/5311775879,exact_code,HIGH,MATCHED,12.8916061,80.084974,Q7914337
GI,Guduvancheri,Guduvancheri,node/5274260962,exact_code,HIGH,MATCHED,12.8452303,80.0576503,Q15222239
TMLP,Tirumalpur,Tirumalpur,node/267158149,exact_code,HIGH,MATCHED,12.9565668,79.6737627,Q63356220
PALR,Palur,Palur,node/3725756379,exact_code,HIGH,MATCHED,12.766346,79.9069065,Q87935381
WJ,Walajabad,Walajabad,node/261716087,exact_code,HIGH,MATCHED,12.7968265,79.8185833,Q63357286
PYV,Palayasivara,Palayasivaram,node/2048191334,exact_code,HIGH,MATCHED,12.7767905,79.8778012,Q63369216
CJE,Kanchipuram,Kanchipuram East,node/261716103,exact_code,HIGH,MATCHED,12.8408612,79.7121979,Q63356221
MTMY,Thirumayilai,Thirumayilai,node/5311755234,exact_code,HIGH,MATCHED,13.0353976,80.2675129,Q7785353
VLCY,Velacheery,Velachery,node/5311755242,exact_code,HIGH,MATCHED,12.9676192,80.2195082,Q7918772
BBQ,Basin Bridge,Basin Bridge Junction,way/217954831,exact_code,HIGH,MATCHED,13.1020272,80.2712614,Q4867482
KOK,Korukkupet,Korukkupet,node/5274761658,exact_code,HIGH,MATCHED,13.1194248,80.2784559,Q6432750
TNP,Tondiarpet,Tondiarpet,node/5311732458,exact_code,HIGH,MATCHED,13.1275202,80.2819242,Q7820800
TVT,Tiruvottiyur,Tiruvottiyur,node/5311732459,exact_code,HIGH,MATCHED,13.1586407,80.2962076,Q7809477
WCN,Wimco Nagar,Wimco Nagar,node/5311732501,exact_code,HIGH,MATCHED,13.1796833,80.3054594,Q8023547
RPM,Royapuram,Royapuram,way/26399018,exact_code,HIGH,MATCHED,13.1043166,80.2935584,Q7375145
WST,Washermanpet,Washermanpet,node/6460934200,exact_code,HIGH,MATCHED,13.1089648,80.2820095,Q7971483
VLK,Villivakkam,Villivakkam,way/235931387,exact_code,HIGH,MATCHED,13.1103186,80.209155,Q7931115
KOTR,Korattur,Korattur,node/5274761659,exact_code,HIGH,MATCHED,13.1131424,80.1841521,Q6431441
PVM,Pattaravakka,Pattaravakkam,node/248545108,exact_code,HIGH,MATCHED,13.1143904,80.1663975,Q7148328
ABU,Ambattur,Ambattur,node/5310778033,exact_code,HIGH,MATCHED,13.1140892,80.1528611,Q4741171
TMVL,Thirumullaiv,Thirumullaivoyal,node/5310778034,exact_code,HIGH,MATCHED,13.115319,80.1371368,Q7785367
ANNR,Annanur,Annanur,node/5310778035,exact_code,HIGH,MATCHED,13.1163563,80.1269127,Q4767947
HC,Hindu Colleg,Hindu College,node/5274201067,exact_code,HIGH,MATCHED,13.1184826,80.0744298,Q5766274
PRES,Pattabiram E,Pattabiram E Depot,node/5274212914,exact_code,HIGH,MATCHED,13.1460141,80.0686194,Q7148296
PTMS,Pattabiram E,Pattabiram Military Siding,node/262308384,exact_code,HIGH,MATCHED,13.1373759,80.0601177,Q63369351
TI,Tiruninravur,Tiruninravur,node/5286998286,exact_code,HIGH,MATCHED,13.123994,80.0297436,Q7785400
VEU,Veppampattu,Veppampattu,node/5310778036,exact_code,HIGH,MATCHED,13.1235994,79.9984223,Q16902611
SVR,Sevvapet Roa,Sevvapet Road,node/5310778038,exact_code,HIGH,MATCHED,13.1252677,79.9660618,Q7458116
KBT,Kadambattur,Kadambattur,node/5310778042,exact_code,HIGH,MATCHED,13.0998547,79.8631466,Q63355480
TO,Tiruvalangad,Thiruvalangadu,node/5984608795,exact_code,HIGH,MATCHED,13.0904025,79.7634037,
PLMG,Puliyamangal,Puliyamangalam,node/5310778045,exact_code,HIGH,MATCHED,13.0834033,79.6849792,Q63355510
MSU,Mosur,Mosur,node/5310778044,exact_code,HIGH,MATCHED,13.0849374,79.7122361,Q63355905
MAF,Manavur,Manavur,node/5275671388,exact_code,HIGH,MATCHED,13.096372,79.8012593,Q63355904
SSI,Shirsai,Ekkattuthangal,node/5319207378,exact_code,HIGH,MATCHED,13.0169222,80.2054236,Q19891416
SAR,Shahzad Naga,Arumbakkam,node/5319972799,exact_code,HIGH,MATCHED,13.0616746,80.2116557,Q19882103
SVZ,Sarai Harkhu,Sivadi,node/6017330755,exact_code,HIGH,MATCHED,12.0390657,78.1182781,Q63360814
SVUR,Sevur,Sevur,node/5286945821,exact_code,HIGH,MATCHED,12.9718001,79.1901017,Q63355924
MDVE,Mahendravadi,Mahendravadi,node/5275671389,exact_code,HIGH,MATCHED,13.0221211,79.517448,Q63355530
NNM,Nannilam,Nannilam,node/5302474693,exact_code,HIGH,MATCHED,10.8848471,79.6511448,Q63368850
KU,Kulikarai,Kulikarai,node/5303104751,exact_code,HIGH,MATCHED,10.7656087,79.584695,Q63357479
TMU,Tirumathikku,Tirumanthikunam,node/5303104744,exact_code,HIGH,MATCHED,10.766989,79.5402224,Q63369397
KDE,Koradacheri,Koradacheri,node/5303104738,exact_code,HIGH,MATCHED,10.7714293,79.4901604,Q63355079
KCHV,Kachchanavil,Kachchanavilai,node/5351824967,exact_code,HIGH,MATCHED,8.5783118,78.0206161,Q63356464
MTL,Mailam,Mailam,node/5275810573,exact_code,HIGH,MATCHED,12.1602585,79.6021399,Q63355686
VVN,Vikravandi,Vikravandi,node/5287054303,exact_code,HIGH,MATCHED,12.0455151,79.5427008,Q63355682
MYP,Mundiampakka,Mundiyampakkam,node/5308325636,exact_code,HIGH,MATCHED,11.9951648,79.5115683,Q63355681
VRA,Valavanur Ha,Valavanur,node/5301762158,exact_code,HIGH,MATCHED,11.9178314,79.5742203,Q63357681
OV,Ottivakkam,Otivakkam,node/5306327078,exact_code,HIGH,MATCHED,12.6227255,79.9752623,Q63355636
KGZ,Karunguzhi,Karunguzhi,node/5274698920,exact_code,HIGH,MATCHED,12.5321066,79.911518,Q63356245
TZD,Tozhuppedu,Tozhuppedu,node/5287023929,exact_code,HIGH,MATCHED,12.368915,79.7847371,Q63355690
OLA,Olakur,Olakur,node/5276145853,exact_code,HIGH,MATCHED,12.3049348,79.7209364,Q63355688
PEI,Perani,Perani,node/5276187592,exact_code,HIGH,MATCHED,12.1028764,79.5522437,Q63355683
VRPD,Virapandy Ro,Virapandy Road,node/4558948122,exact_code,HIGH,MATCHED,11.596662,78.0745388,Q51632781
MALR,Mallur,Mallur,node/6022434015,exact_code,HIGH,MATCHED,11.5541222,78.1348392,Q24950043
KLGN,Kalangani,Kalangani,node/6022434244,exact_code,HIGH,MATCHED,11.3315033,78.1760284,Q24950223
TPE,Tiruchirappa,Tiruchchirappalli Palakarai,node/5303863787,exact_code,HIGH,MATCHED,10.8078296,78.6941595,Q28182727
MTNL,Muttarasanal,Muttasaranallur,node/5585526150,exact_code,HIGH,MATCHED,10.866458,78.6484358,Q63357550
EL,Elamanur,Elamanur,node/6026356091,exact_code,HIGH,MATCHED,10.8796682,78.5738912,Q63355482
PGN,Perugamani,Perugamani,node/6026340118,exact_code,HIGH,MATCHED,10.888803,78.5475192,Q63356170
TIC,Timmachipura,Timmachipuram,node/6025360785,exact_code,HIGH,MATCHED,10.9526627,78.3725168,Q63360811
LP,Lalapet,Lalapet,node/6025355809,exact_code,HIGH,MATCHED,10.9514935,78.3397983,Q63357487
SEV,Sithalavai H,Sithalavai,node/6025339763,exact_code,HIGH,MATCHED,10.9582792,78.2740515,Q63357052
MYU,Mayanoor,Mayanoor,node/4271573964,exact_code,HIGH,MATCHED,10.9550023,78.2368598,Q63356779
