station_code,station_name,osm_name,lat,lon,wikidata,match_status,match_method,match_confidence,source_ogd,source_osm
VDL,Vaithisvaran,Vithisvarankol,11.1958101,79.7038518,Q63355645,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KTM,Kutralam,Kuthalam,11.0699202,79.5571951,Q63355139,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
ADT,Aduthurai,Aduturai,11.0090995,79.4784333,Q63354634,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
BAL,Budalur,Budalur,10.7828722,78.9810094,Q25549477,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TP,Tiruchirappa,Tiruchchirapalli Fort,10.8256954,78.6890508,Q7809307,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KLT,Kulitalai,Kulithalai,10.9335519,78.4210459,Q63356512,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SME,Shimoga,Meenambakkam,12.9876728,80.1764787,Q19893884,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TRB,Tiruverumbur,Tiruverumbur,10.787533,78.7765678,Q63355599,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PLI,Pettaivaytal,Pettaivaytalai,10.8988575,78.4935405,Q63369382,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TDN,Tiruparankun,Tiruparankundram,9.8790903,78.0651521,Q63371877,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PCV,Palakkodu,Palakkodu,12.2970222,78.0716779,Q18129114,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
RASP,Rasipuram,Rasipuram,11.4537338,78.1784576,Q24950046,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
NMKL,Namakkal,Namakkal,11.2260125,78.1790621,Q18128464,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SKPT,Somanayakkan,Somanayakkanpatti,12.5750296,78.5422541,Q63369906,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PU,Patchur,Patchur,12.5865309,78.4697329,Q63369903,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MAR,Mulanur,Mulanur,12.662548,78.4067546,Q63369902,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
GDP,Gudupalli,Gudupulli,12.8034773,78.2747707,Q63369900,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KSM,Kamasamudram,Kamasamudram,12.8804954,78.2005632,Q63369898,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MPLM,Murthipalaya,Murthipalayam,11.0214102,78.0226297,Q63358131,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MMH,Mahadanapura,Mahadanapuram,10.9535779,78.2995421,Q63369412,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SAT,Santroad,Anna Nagar Tower,13.08514,80.2086,Q30638909,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
BDY,Buddireddipp,Buddireddippatti,12.0463079,78.3137514,Q63355342,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MONR,Mohanur,Mohanur,11.0689318,78.1398608,Q24950093,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MSB,Chennai Beac,Chennai Beach,13.0915941,80.2918317,Q3532688,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MSF,Chennai Fort,Chennai Fort,13.0835199,80.2830139,Q15148187,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MPK,Chennai Park,Chennai Park,13.0807537,80.2730879,Q5091452,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
